timestamp,rig_id,equipment,operational_mode,power_kw,vibration_rms,temperature_c,bearing_temp_c,pressure_psi,flow_rate_m3h,rotational_speed_rpm,energy_deviation,anomaly_score,failure_indicator,failure_flag,estimated_rul_hours
2026-02-03 10:00:00+00:00,RIG-CRIT-01,TopDrive,NORMAL,813.4,0.166,61.5,67.5,3138,15.16,1232,-0.196,0.0,0.039,0,420
2026-02-03 11:00:00+00:00,RIG-CRIT-01,TopDrive,NORMAL,796.6,0.20600000000000002,62.8,69.0,3081,14.89,1199,-0.186,0.0,0.046,0,409
2026-02-03 12:00:00+00:00,RIG-CRIT-01,TopDrive,NORMAL,817.1,0.209,63.4,70.1,3043,14.62,1224,-0.14400000000000002,0.0,0.053,0,397
2026-02-03 13:00:00+00:00,RIG-CRIT-01,TopDrive,NORMAL,923.0,0.5670000000000001,63.9,79.9,3051,14.48,1261,-0.028,0.0,0.062,0,386
2026-02-03 14:00:00+00:00,RIG-CRIT-01,TopDrive,NORMAL,949.6,0.721,65.8,86.8,3012,14.28,1246,0.0,0.0,0.07200000000000001,0,375
2026-02-03 15:00:00+00:00,RIG-CRIT-01,TopDrive,NORMAL,867.3,0.366,65.7,76.1,2972,14.26,1263,-0.075,0.0,0.084,0,363
2026-02-03 16:00:00+00:00,RIG-CRIT-01,TopDrive,NORMAL,882.0,0.294,67.0,75.7,2948,13.91,1245,-0.051000000000000004,0.0,0.097,0,352
2026-02-03 17:00:00+00:00,RIG-CRIT-01,TopDrive,NORMAL,890.1,0.417,66.3,78.0,2927,13.83,1252,-0.036000000000000004,0.0,0.113,0,341
2026-02-03 18:00:00+00:00,RIG-CRIT-01,TopDrive,NORMAL,881.6,0.388,70.2,81.2,2895,13.56,1262,-0.039,0.0,0.13,0,329
2026-02-03 19:00:00+00:00,RIG-CRIT-01,TopDrive,NORMAL,904.6,0.446,70.8,80.6,2868,13.35,1276,-0.012,0.0,0.149,0,318
2026-02-03 20:00:00+00:00,RIG-CRIT-01,TopDrive,NORMAL,930.7,0.44,72.1,81.7,2856,13.43,1259,0.014,0.0,0.171,0,306
2026-02-03 21:00:00+00:00,RIG-CRIT-01,TopDrive,NORMAL,940.8,0.484,72.4,83.7,2805,13.12,1268,0.021,0.0,0.195,0,295
2026-02-03 22:00:00+00:00,RIG-CRIT-01,TopDrive,HIGH_LOAD,1049.7,0.562,76.8,88.2,2754,13.08,1560,0.116,0.0,0.222,0,284
2026-02-03 23:00:00+00:00,RIG-CRIT-01,TopDrive,HIGH_LOAD,1067.5,0.551,77.3,92.2,2717,12.88,1535,0.113,0.0,0.251,0,272
2026-02-04 00:00:00+00:00,RIG-CRIT-01,TopDrive,HIGH_LOAD,1073.9,0.616,77.1,92.2,2746,12.68,1527,0.1,0.0,0.28300000000000003,0,261
2026-02-04 01:00:00+00:00,RIG-CRIT-01,TopDrive,HIGH_LOAD,1078.0,0.61,77.7,95.2,2690,12.36,1521,0.08700000000000001,0.0,0.317,0,250
2026-02-04 02:00:00+00:00,RIG-CRIT-01,TopDrive,HIGH_LOAD,1098.4,0.659,79.3,96.8,2652,12.23,1551,0.09,0.0,0.353,0,238
2026-02-04 03:00:00+00:00,RIG-CRIT-01,TopDrive,HIGH_LOAD,1136.9,0.722,81.0,96.6,2640,12.21,1552,0.107,0.04,0.42,0,227
2026-02-04 04:00:00+00:00,RIG-CRIT-01,TopDrive,HIGH_LOAD,1126.3,0.7000000000000001,82.6,96.3,2634,11.99,1531,0.081,0.009000000000000001,0.437,0,216
2026-02-04 05:00:00+00:00,RIG-CRIT-01,TopDrive,HIGH_LOAD,1145.8,0.745,83.4,100.4,2555,11.59,1557,0.083,0.112,0.554,0,204
2026-02-04 06:00:00+00:00,RIG-CRIT-01,TopDrive,HIGH_LOAD,1262.9,1.113,85.0,109.7,2567,11.54,1554,0.16,0.639,0.877,0,193
2026-02-04 07:00:00+00:00,RIG-CRIT-01,TopDrive,HIGH_LOAD,1167.4,0.792,86.2,102.9,2489,11.35,1559,0.061,0.191,0.685,0,182
2026-02-04 08:00:00+00:00,RIG-CRIT-01,TopDrive,HIGH_LOAD,1199.7,0.8310000000000001,86.6,102.0,2541,11.37,1572,0.076,0.222,0.738,0,170
2026-02-04 09:00:00+00:00,RIG-CRIT-01,TopDrive,HIGH_LOAD,1208.9,0.893,88.4,104.8,2481,11.16,1581,0.07100000000000001,0.324,0.8180000000000001,0,159
2026-02-04 10:00:00+00:00,RIG-CRIT-01,TopDrive,HIGH_LOAD,1208.3,0.893,89.5,108.2,2442,10.89,1557,0.059000000000000004,0.369,0.858,0,148
2026-02-04 11:00:00+00:00,RIG-CRIT-01,TopDrive,HIGH_LOAD,1224.0,0.972,90.7,109.7,2416,10.74,1582,0.061,0.47100000000000003,0.906,0,136
2026-02-04 12:00:00+00:00,RIG-CRIT-01,TopDrive,HIGH_LOAD,1258.8,0.975,91.1,110.9,2375,10.73,1549,0.077,0.496,0.924,0,125
2026-02-04 13:00:00+00:00,RIG-CRIT-01,TopDrive,HIGH_LOAD,1245.9,1.005,92.5,113.4,2349,10.48,1543,0.055,0.556,0.9450000000000001,0,114
2026-02-04 14:00:00+00:00,RIG-CRIT-01,TopDrive,HIGH_LOAD,1250.2,0.988,93.6,111.2,2346,10.48,1560,0.05,0.507,0.9460000000000001,0,102
2026-02-04 15:00:00+00:00,RIG-CRIT-01,TopDrive,HIGH_LOAD,1298.8,1.058,95.3,113.8,2314,10.03,1578,0.076,0.621,0.967,0,91
2026-02-04 16:00:00+00:00,RIG-CRIT-01,TopDrive,HIGH_LOAD,1291.0,1.08,95.9,115.8,2267,10.06,1583,0.058,0.668,0.975,0,79
2026-02-04 17:00:00+00:00,RIG-CRIT-01,TopDrive,HIGH_LOAD,1295.0,1.124,97.1,116.2,2247,9.65,1596,0.052000000000000005,0.717,0.982,0,68
2026-02-04 18:00:00+00:00,RIG-CRIT-01,TopDrive,HIGH_LOAD,1319.8,1.141,98.6,118.4,2223,9.51,1562,0.061,0.767,0.986,0,57
2026-02-04 19:00:00+00:00,RIG-CRIT-01,TopDrive,HIGH_LOAD,1321.6,1.168,99.5,120.3,2199,9.35,1558,0.052000000000000005,0.8200000000000001,0.99,0,45
2026-02-04 20:00:00+00:00,RIG-CRIT-01,TopDrive,HIGH_LOAD,1344.2,1.214,100.0,121.5,2166,9.28,1575,0.059000000000000004,0.886,0.993,0,34
2026-02-04 21:00:00+00:00,RIG-CRIT-01,TopDrive,HIGH_LOAD,1375.2,1.22,101.0,125.0,2129,9.22,1566,0.07,0.9420000000000001,0.995,0,23
2026-02-04 22:00:00+00:00,RIG-CRIT-01,TopDrive,HIGH_LOAD,1395.0,1.217,101.0,123.2,2128,9.01,1574,0.07200000000000001,0.915,0.995,0,11
2026-02-04 23:00:00+00:00,RIG-CRIT-01,TopDrive,MAINTENANCE,589.7,0.164,60.5,65.6,3105,14.81,1083,-0.506,0.0,0.9430000000000001,0,0
2026-02-05 00:00:00+00:00,RIG-CRIT-01,TopDrive,MAINTENANCE,602.5,0.161,60.4,64.9,3120,14.82,1081,-0.455,0.0,0.9430000000000001,0,0
2026-02-05 01:00:00+00:00,RIG-CRIT-01,TopDrive,NORMAL,804.7,0.166,60.2,69.2,3126,14.92,1193,-0.241,0.0,0.84,0,80
2026-02-05 02:00:00+00:00,RIG-CRIT-01,TopDrive,NORMAL,946.2,0.543,75.2,85.5,2758,12.88,1282,-0.093,0.0,0.885,0,53
2026-02-05 03:00:00+00:00,RIG-CRIT-01,TopDrive,NORMAL,1081.6,0.878,86.9,105.0,2392,10.91,1278,0.031,0.302,1.0,1,27
